"Glaciological.Mass.Balance"
" "
"ANNUAL_BALANCE = Annual mass balance of glacier divided by the area of the glacier in mm water equivalent (mm w.e.)"
"Informations about INVESTIGATOR, SPONS_AGENCY and REMARKS as reported to the WGMS"
" "
"When using the data, cite the World Glacier Monitoring Service (WGMS 2015, and earlier reports)"
"and/or the original investigators and sponsoring agencies according to the available meta-information."
"WGMS (2015, and earlier reports): Global Glacier Change Bulletin No. 1 (2012-2013). Zemp, M., Gärtner-Roer, I., Nussbaumer, S.U., Hüsler, F., Machguth, H., Mölg, N., Paul, F., and Hoelzle, M. (eds.), ICSU(WDS)/ IUGG(IACS)/ UNEP/ UNESCO/ WMO, World Glacier Monitoring Service, Zurich, Switzerland, 230 pp., publication based on database version: doi:10.5904/wgms-fog-2015-11."
" "
"Note that this file contains only a minimal set of data fields."
"Full information on available attributes can be found on the WGMS website: http://www.wgms.ch/downloads/WGMS_AttributeDescription.pdf"
"And can be ordered by email: wgms@geo.uzh.ch"
"  "
"PU";"NAME";"WGMS_ID";"LATITUDE";"LONGITUDE";"GEOREG1";"GEOREG2";"SURVEY_YEAR";"REFERENCE_YEAR";"WINTER_BALANCE";"SUMMER_BALANCE";"ANNUAL_BALANCE";"ELA";"AAR";"INVESTIGATOR";"SPONS_AGENCY";"REFERENCE";"REMARKS";"GEO.REGION_CODE"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1968;1967;936;-1358;-423;"4225";52;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996); Number of stakes are separted in winter measurements and summer measurements and not in ablation and accumulation area";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1969;1968;NA;NA;740;"4040";NA;"scientists of the SANGIMI institute ";"SANGIMI";"Kamnyansky, 2001";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1970;1969;NA;NA;-210;"4200";NA;"scientists of the SANGIMI institute ";"SANGIMI";"Kamnyansky, 2001";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1971;1970;1250;-1916;-666;"4265";45;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1972;1971;1304;-868;436;"4035";82;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1973;1972;1621;-2574;-953;"4285";37;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1974;1973;676;-989;-313;"4195";58;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1975;1974;874;-2085;-1211;"4405";15;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1976;1975;906;-1738;-832;"4315";31;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1977;1976;1453;-2765;-1312;"4385";18;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1978;1977;1457;-2654;-1197;"4435";12;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1979;1978;1497;-1994;-497;"4225";52;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1980;1979;1149;-2122;-973;"4335";28;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1981;1980;954;-876;78;"4125";69;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1982;1981;888;-1576;-688;"4245";47;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1983;1982;1273;-1616;-344;"4225";52;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1984;1983;1311;-2054;-744;"4305";30;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1985;1984;1420;-2106;-687;"4255";46;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1986;1985;974;-1836;-861;"4325";30;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1987;1986;1698;-1417;281;"4115";72;"scientists of the SANGIMI institute ";"SANGIMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1988;1987;1725;-1677;48;"4165";65;"Kamnyanskiy G. (SANIGMI)";"SANIGMI: Midasian Hydrometeorological Research Institute SANIGMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1989;1988;1190;-1346;-156;"4185";62;"Kamnyanskiy G. (SANIGMI)";"SANIGMI: Midasian Hydrometeorological Research Institute SANIGMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1990;1989;1627;-2014;-387;"4205";56;"Kamnyanskiy G. (SANIGMI)";"SANIGMI: Midasian Hydrometeorological Research Institute SANIGMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
