"Glaciological.Mass.Balance"
" "
"ANNUAL_BALANCE = Annual mass balance of glacier divided by the area of the glacier in mm water equivalent (mm w.e.)"
"Informations about INVESTIGATOR, SPONS_AGENCY and REMARKS as reported to the WGMS"
" "
"When using the data, cite the World Glacier Monitoring Service (WGMS 2013, updated, and earlier volumes)"
"and/or the original investigators and sponsoring agencies according to the available meta-information."
"WGMS (2013, updated, and earlier volumes): Glacier Mass Balance Bulletin No. 12 (2010–2011). Zemp, M., Nussbaumer, S. U., Naegeli, K., Gärtner-Roer, I., Paul, F., Hoelzle, M., and Haeberli, W. (eds.), ICSU(WDS)/IUGG(IACS)/UNEP/UNESCO/WMO, World Glacier Monitoring Service, Zurich, Switzerland, 106 pp. Data based on database version doi:10.5904/wgms-fog-2014-09."
" "
"Note that this file contains only a minimal set of data fields."
"Full information on available attributes can be found on the WGMS website: http://www.wgms.ch/downloads/WGMS_AttributeDescription.pdf"
"And can be ordered by email: wgms@geo.uzh.ch"
"  "
"PU";"NAME";"WGMS_ID";"LATITUDE";"LONGITUDE";"GEOREG1";"GEOREG2";"SURVEY_YEAR";"REFERENCE_YEAR";"ANNUAL_BALANCE";"INVESTIGATOR";"SPONS_AGENCY";"REFERENCE";"REMARKS"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1982;1981;-570;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1983;1982;-500;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1984;1983;460;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1985;1984;-100;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1986;1985;30;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1987;1986;-790;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1988;1987;-630;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1989;1988;340;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1990;1989;-270;"";"";"";"Data from Dyurgerov, M.(2002): [6] For detailed reference information consult Dyurgerov's Appendix 1!"
"IN";"SHAUNE GARANG";1048;31.28;78.33;"Asia, South East";"Himalaya, Central";1991;1990;-820;"";"";"Data from Cogley (2008, updated 2013) based on: Haeberli et al. (1993); Fluctuations of Glaciers (1985-1990), Vol. VI, 296 p. Raina (2009); Himalayan Glaciers: A state-of-art review of glacial studies, glacial retreat and climate change, 56 p.";""
